,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
986,www.yahoo.com,https://www.yahoo.com/news/turkey-blocks-eu-mps-visit-jailed-kurdish-leader-134745778.html?ref=gs,Reliable,5,20,10,5,2.883333333,5,0,5,0,0,0,0,0,0,0.720833333,1.5875,5,0,0,0,0,1
987,www.yahoo.com,https://www.yahoo.com/news/ap-photos-editor-selections-past-week-asia-043012732.html?ref=gs,Reliable,2,0,0,0,0.366666667,2,0,2,0,0,0,0,0,0,0.366666667,0.366666667,2,0,0,0,0,1
988,abcnews.go.com,http://abcnews.go.com/Lifestyle/holiday-gifts-travel-lovers/story?id=43673887,Reliable,57,5,0,0,6089.133333,56,1,56,0,0,0,0,1,0,108.7345238,6089.03006,1,0,0,0,56,1
989,abcnews.go.com,http://abcnews.go.com/US/wireStory/conviction-upheld-arms-dealer-dubbed-merchant-death-43696382,Reliable,1,0,0,0,-1,1,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,1
990,indianexpress.com,http://indianexpress.com/article/business/companies/facebook-to-open-new-london-hq-create-500-new-jobs-by-2017-4387702/,Reliable,6,4,8,0,1.65,6,0,6,0,0,0,0,0,0,0.33,1.336666667,6,0,0,0,0,1
991,www.huffingtonpost.com,http://www.huffingtonpost.com/j-v-crum-iii/the-new-paradigm-of-consc_b_13131948.html,Reliable,95,13,23,0,16673.98333,72,23,16,13,15,16,12,11,12,177.3828014,10728.22199,1,0,0,0,94,7.307692308
992,abcnews.go.com,http://abcnews.go.com/International/wireStory/germany-man-arrested-syrians-bomb-plot-released-43688738,Reliable,4,0,0,0,0.166666667,4,0,4,0,0,0,0,0,0,0.055555556,0.161111111,4,0,0,0,0,1
993,abcnews.go.com,http://abcnews.go.com/International/wireStory/court-ruling-means-snowden-testify-germany-43693369,Reliable,5,0,0,0,7.116666667,5,0,3,2,0,0,0,0,0,1.779166667,3.654166667,3,2,0,0,0,1
994,indianexpress.com,http://indianexpress.com/article/education/bill-to-replace-medical-council-of-india-likely-in-ongoing-parliament-session-4388342/,Reliable,4,5,10,3,7583.366667,4,0,0,3,1,0,0,0,0,2527.788889,7577.238889,1,0,0,0,3,1
995,abcnews.go.com,http://abcnews.go.com/Weird/wireStory/fire-probe-prompts-toys-us-pull-ride-toy-43691502,Reliable,39,0,0,0,150.2666667,37,2,34,3,0,0,0,0,2,3.954385965,9.379824561,34,1,2,0,2,1.114285714
