,domain,url,urlType,R_norm_full_text_Flesch_reading_ease,R_norm_full_text_Flesch_kincaid_grade,R_norm_full_text_smog,R_norm_full_text_gunning_fog,R_norm_full_text_words_per_sentence,R_norm_full_text_capitalized_words,R_norm_full_text_lexicon,R_norm_full_text_urls_counts,R_norm_full_text_long_words,R_norm_full_text_syllables,R_norm_full_text_stop_words,R_norm_full_text_sentences,R_norm_full_text_linsear_write,R_norm_full_text_automated_readability,R_norm_full_text_characters_total,R_norm_full_text_coleman_liax,R_norm_full_text_difficult_words,R_norm_full_text_words_total
9571,threepercenternation.com,http://threepercenternation.com/2016/09/obama-2/,Fake,0.562864506,0.158045977,0.466019417,0.22357187,0.132180703,0.036873156,0.040787623,0,0.041132242,0.040493917,0.158004259,0.067669173,0.217391304,0.194915254,0.038665621,0.431188351,0.039242219,0.040270429
9572,threepercenternation.com,http://threepercenternation.com/2015/08/maher-slams-hillary/,Fake,0.546182015,0.336206897,0.563106796,0.396499022,0.206543967,0.04719764,0.039381153,0,0.03449801,0.038133285,0.166514042,0.052631579,0.288043478,0.358050847,0.03723527,0.461719117,0.048714479,0.037918871
9573,threepercenternation.com,http://threepercenternation.com/2017/02/a-celebrated-gay-man-advocating-pedophilia-with-no-repercussions-video/,Fake,0.561508206,0.198275862,0.478964401,0.303379046,0.138377641,0.030973451,0.0302391,0,0.024767802,0.032140912,0.192168534,0.052631579,0.132608696,0.220338983,0.030129654,0.460779709,0.036535859,0.032039976
9574,threepercenternation.com,http://threepercenternation.com/2014/10/un-official-ebola-far-worse-than-hiv-sars/,Fake,0.524888105,0.227011494,0.466019417,0.564501139,0.301124744,0.060471976,0.065752461,0,0.06103494,0.063918649,0.103142209,0.07518797,0.172554348,0.254237288,0.062427906,0.445279474,0.098782138,0.064079953
9575,threepercenternation.com,http://threepercenternation.com/2014/10/isis-committing-staggering-crimes-in-iraq/,Fake,0.138613861,0.390804598,0.640776699,0.99940395,1,0.060471976,0.059774965,0,0.060150376,0.064644997,0.118055556,0.022556391,0.470108696,0.413135593,0.062612467,0.644434007,0.102841678,0.055555556
9576,threepercenternation.com,http://threepercenternation.com/2014/10/nbcnews-cameraman-tests-positive-in-liberia/,Fake,0.620235996,0.264367816,0.54368932,0.447873498,0.387671633,0.084070796,0.065752461,0,0.058823529,0.062284365,0.10359745,0.063909774,0.192934783,0.334745763,0.063396853,0.488961954,0.078484438,0.063786008
9577,threepercenternation.com,http://threepercenternation.com/2017/01/nicole-kidman-endorses-trump/,Fake,0.608978706,0.295977011,0.546925566,0.659438966,0.437883436,0.060471976,0.048171589,0,0.048651039,0.049210096,0.128818697,0.045112782,0.192934783,0.343220339,0.049739307,0.581493659,0.082543978,0.050558495
9578,threepercenternation.com,http://threepercenternation.com/2014/10/live-hacking-cyber-attack-map-white-house-hacked/,Fake,0.209141462,0.333333333,0.624595469,0.618306606,0.174408414,0.026548673,0.026371308,0,0.029190624,0.031959324,0.230785297,0.037593985,0.237771739,0.334745763,0.028191759,0.643964302,0.047361299,0.025573192
9579,threepercenternation.com,http://threepercenternation.com/2014/10/isis-invasion-forces-over-175000-to-flee-in-iraq/,Fake,0.311677743,0.304597701,0.546925566,0.661330492,0.74010039,0.072271386,0.050281294,0,0.050420168,0.051389141,0.134546663,0.026315789,0.188858696,0.319915254,0.049277903,0.502583372,0.066305819,0.048206937
9580,threepercenternation.com,http://threepercenternation.com/2016/10/knife-wielding-clown-terrorizing-subway-riders/,Fake,0.735250237,0.172413793,0.411003236,0.471381821,0.386503067,0.041297935,0.044303797,0,0.047324193,0.038859633,0.148467433,0.041353383,0.152173913,0.283898305,0.042910534,0.488961954,0.055480379,0.043209877
9581,threepercenternation.com,http://threepercenternation.com/2014/09/hands-up-dont-shoot-now-being-used-by-protesters-to-back-down-police-in-hong-kong-china/,Fake,0.487996745,0.67816092,0.770226537,0.329326301,0.46546606,0.548672566,0.727848101,0.25,0.680229987,0.709823861,0.00341697,0.684210526,0.180706522,0.733050847,0.738245744,0.620009394,0.661705007,0.69664903
9582,threepercenternation.com,http://threepercenternation.com/2014/10/frustrated-obama-hits-critics-who-think-the-u-s-should-hide-from-ebola/,Fake,0.540756815,0.146551724,0.449838188,0.530674872,0.230602671,0.163716814,0.08649789,0,0.086245024,0.081895769,0.080421563,0.112781955,0.122826087,0.228813559,0.083652471,0.474870831,0.125845737,0.082598471
9583,threepercenternation.com,http://threepercenternation.com/2015/10/american-gun-culture-saved-europe/,Fake,0.516479045,0.347701149,0.608414239,0.560935102,0.338767964,0.305309735,0.208509142,0,0.194604157,0.230252406,0.026511955,0.259398496,0.20923913,0.366525424,0.217736354,0.584311884,0.331529093,0.224279835
9584,threepercenternation.com,http://threepercenternation.com/2014/10/white-house-responds-to-chickenst-comment-aimed-at-netenyahu/,Fake,0.416926624,0.293103448,0.563106796,0.757048022,0.271165644,0.160766962,0.066104079,0,0.073418841,0.070455784,0.104056437,0.078947368,0.326086957,0.375,0.070917732,0.690465007,0.124492558,0.063492063
9585,threepercenternation.com,http://threepercenternation.com/2015/08/deadly-bomb-blast-rocks-central-bangkok/,Fake,0.627288756,0.16954023,0.459546926,0.444141801,0.356509884,0.02359882,0.022503516,0,0.022114109,0.021245687,0.264206349,0.018796992,0.154211957,0.266949153,0.022424214,0.53217473,0.027063599,0.021457966
9586,threepercenternation.com,http://threepercenternation.com/2014/11/police-father-dressed-up-daughters-had-them-sing-let-it-go-then-suffocated-them/,Fake,0.741353587,0.117816092,0.352750809,0.460077489,0.359131666,0.03539823,0.033755274,0,0.031844317,0.031232976,0.179748221,0.033834586,0.109782609,0.18220339,0.031975269,0.390324096,0.044654939,0.034685479
9587,threepercenternation.com,http://threepercenternation.com/2014/12/dia-report-north-korea-planned-attacks-on-us-nuclear-plants/,Fake,0.247796012,0.431034483,0.666666667,0.677601981,0.513292434,0.072271386,0.055203938,0,0.063688633,0.059923733,0.124816105,0.041353383,0.188858696,0.459745763,0.058229133,0.671676844,0.083897158,0.052322163
9588,threepercenternation.com,http://threepercenternation.com/2015/08/massive-explosion-rock-china/,Fake,0.422216194,0.295977011,0.504854369,0.665139327,0.247443763,0.044247788,0.025668073,0,0.026536931,0.028327583,0.235048186,0.030075188,0.176630435,0.305084746,0.026530706,0.56787224,0.047361299,0.024985303
9589,threepercenternation.com,http://threepercenternation.com/2014/11/norway-muslims/,Fake,0.354943714,0.626436782,0,0.37332054,0.547375596,0.028023599,0.0302391,0,0.029190624,0.03286726,0.204675099,0.018796992,1,0.612288136,0.030960181,0.581963363,0.027063599,0.029688419
9590,threepercenternation.com,http://threepercenternation.com/2015/11/watch-video-captures-frightening-moment-2-women-narrowly-escape-isis-gunman-in-paris-attack/,Fake,0.653058457,0.413793103,0.472491909,0.519426933,0.241429087,0.029498525,0.041490858,0,0.04068996,0.036499001,0.165402892,0.04887218,0.372282609,0.491525424,0.038804042,0.478628464,0.058186739,0.038212816
9591,threepercenternation.com,http://threepercenternation.com/2015/11/france-moves-to-strip-citizens-of-civil-liberties-after-paris-attacks/,Fake,0.369456124,0.324712644,0.579288026,0.720838615,0.482617587,0.050147493,0.063994374,0,0.065900044,0.065916107,0.106891702,0.052631579,0.486413043,0.383474576,0.066672819,0.66087365,0.105548038,0.061728395
9592,threepercenternation.com,http://threepercenternation.com/2015/11/this-message-by-a-man-whose-wife-died-in-the-paris-attack-is-going-viral/,Fake,0.875762919,0.129310345,0.375404531,0.211046392,0.27198364,0.061946903,0.071729958,0,0.058381247,0.063010714,0.085263101,0.097744361,0.046195652,0.19279661,0.065196327,0.311413809,0.066305819,0.077895356
9593,threepercenternation.com,http://threepercenternation.com/2015/11/putin-sending-150000-russian-soldiers-to-permanently-destroy-isis/,Fake,0.658348027,0.143678161,0.443365696,0.499824174,0.218229623,0.02359882,0.031293952,0,0.03051747,0.026693299,0.211533538,0.037593985,0.119565217,0.23940678,0.029114567,0.4368248,0.043301759,0.02851264
9594,threepercenternation.com,http://threepercenternation.com/2015/11/putin-just-made-a-major-announcement-christians-are-cheering-but-obama-is-furious/,Fake,0.451105385,0.49137931,0,0.593649189,0.630148992,0.036873156,0.023909986,0,0.025210084,0.024695842,0.241735838,0.011278195,0.445652174,0.546610169,0.025377197,0.671676844,0.032476319,0.024103469
9595,threepercenternation.com,http://threepercenternation.com/2015/11/video-turkey-shoots-down-russian-jet-near-border/,Fake,0.392784484,0.252873563,0.511326861,0.532126858,0.378694925,0.196165192,0.180379747,0,0.18089341,0.185763574,0.035192313,0.191729323,0.089673913,0.302966102,0.184930559,0.591827149,0.247631935,0.177542622
9596,threepercenternation.com,http://threepercenternation.com/2015/11/teen-who-fled-to-syria-to-join-isis-beaten-to-death-after-attempting-to-leave-raqqa/,Fake,0.422487454,0.24137931,0.504854369,0.584602974,0.246625767,0.089970501,0.060829817,0.25,0.06501548,0.063737062,0.108863002,0.078947368,0.095108696,0.300847458,0.063120011,0.589478628,0.098782138,0.060552616
9597,threepercenternation.com,http://threepercenternation.com/2015/11/christians-targeted-by-islamic-extremists-on-migrant-boat-bound-for-italy-what-happens-to-them-is-heartbreaking/,Fake,0.618472806,0.227011494,0.430420712,0.396177641,0.395705521,0.063421829,0.048171589,0,0.047324193,0.043944071,0.136820331,0.045112782,0.160326087,0.309322034,0.047155447,0.507750117,0.052774019,0.047325103
9598,threepercenternation.com,http://threepercenternation.com/2015/12/epic-video-putin-shows-obama-how-you-deal-with-islamic-pirates/,Fake,0.574664316,0.103448276,0.362459547,0.490311985,0.079754601,0.028023599,0.00281294,0,0.003095975,0.003268567,0.816738817,0.003759398,0.008152174,0.165254237,0.003137544,0.484264913,0.00541272,0.001763668
9599,threepercenternation.com,http://threepercenternation.com/2015/12/more-mass-shootings-in-2015-france-than-obamas-us/,Fake,0.398345314,0.206896552,0.478964401,0.552607136,0.353783231,0.057522124,0.04535865,0,0.037151703,0.043762484,0.156004972,0.041353383,0.188858696,0.269067797,0.044894569,0.540159699,0.060893099,0.040858319
9600,threepercenternation.com,http://threepercenternation.com/2015/12/popular-chains-caught-selling-shrimp-made-with-child-slave-labor-youll-never-guess-who/,Fake,0.556896786,0.206896552,0.472491909,0.623040943,0.669778608,0.098820059,0.103727145,0,0.101282618,0.095696386,0.065024044,0.071428571,0.164402174,0.294491525,0.102200895,0.529826209,0.136671177,0.101704879
