,domain,url,urlType,T_normTotalTweets,T_normTotalRetweets,T_normTotalLikes,T_normTotalReplies,T_normCountWeekDay,T_normCountWeekEnd,T_normCountMonday,T_normCountTuesday,T_normCountWednesday,T_normCountThursday,T_normCountFriday,T_normCountSaturday,T_normCountSunday,T_normAvgTweetsPerUniqUser,T_normTimeAbsBin1count0to6,T_normTimeAbsBin2count6to12,T_normTimeAbsBin3count12to18,T_normTimeAbsBin4count18to24,T_normTimeAbsBin5count24plus,T_normSpan,T_normAvgTimeBetweenTweets,T_normAvgTimeOfNextTweet,T_percentWeekDayByTotalTweets,T_percentWeekEndByTotalTweets,T_percentMondayByTotalTweets,T_percentTuesdayByTotalTweets,T_percentWednesdayByTotalTweets,T_percentThursdayByTotalTweets,T_percentFridayByTotalTweets,T_percentSaturdayByTotalTweets,T_percentSundayByTotalTweets
3507,www.nytimes.com,http://www.nytimes.com/2016/11/23/pageoneplus/corrections-november-23-2016.html,Reliable,0.005377866,0,0,0,0.005683433,0,0,0,0.009876543,0,0,0,0,0.001169591,1,0,0,0,0,5.1E-05,6.8E-06,5.97E-06,1,0,0,0,1,0,0,0,0
3508,nypost.com,http://nypost.com/2016/11/22/mta-board-urges-campaign-to-keep-riders-from-platform-edge/,Reliable,0.001981319,4.72E-05,5.36E-05,0,0.002273373,0,0,0,0.003950617,0,0,0,0,0,0.625,0.375,0,0,0,0.000146476,5.31E-05,0.000101846,1,0,0,0,1,0,0,0,0
3509,www.washingtonpost.com,https://www.washingtonpost.com/world/asia_pacific/deadly-clashes-in-kashmir-as-india-pakistan-tensions-deepen/2016/11/23/2b0a6533-2a18-495f-85ae-5dc06c287655_story.html,Reliable,0.035663742,0.000330345,0.000268025,0.002765487,0.036089798,0,0,0,0.01382716,0.146835443,0.288732394,0,0,0.068817204,0.165354331,0.11023622,0.181102362,0.062992126,0.480314961,0.000656139,1.32E-05,0.000467581,1,0,0,0,0.220472441,0.456692913,0.322834646,0,0
3510,www.wsj.com,http://www.wsj.com/articles/dollar-wavers-as-investors-take-profits-1479826898,Reliable,0.001132182,0,5.36E-05,0,0.001136687,0.000904159,0,0.002253944,0.000493827,0,0,0,0.001150748,0.014814815,0.4,0.4,0,0,0.2,0.001549914,0.00098264,0.000704049,0.8,0.2,0,0.6,0.2,0,0,0,0.2
3511,bleacherreport.com,http://bleacherreport.com/articles/2677787-dangelo-russell-injury-updates-on-lakers-guards-knee-and-return,Reliable,0.014152279,0.029636621,0.060948807,0.023230088,0.014492754,0,0,0,0.022716049,0.007594937,0.014084507,0,0,0.009259259,0.039215686,0,0,0,0.960784314,0.031188888,0.001581892,0.04836454,1,0,0,0,0.901960784,0.058823529,0.039215686,0,0
3512,www.latimes.com,http://www.latimes.com/world/la-fg-pakistan-india-violence-20161123-story.html,Reliable,0.008774413,0.000896649,0.000375235,0.000553097,0.007104291,0.006329114,0,0,0.004444444,0.010126582,0.084507042,0.008883249,0,0.037037037,0.21875,0.1875,0,0,0.59375,0.000884037,7.23E-05,0.000692013,0.78125,0.21875,0,0,0.28125,0.125,0.375,0.21875,0
3513,edition.cnn.com,http://edition.cnn.com/2016/11/23/asia/pakistan-india-kashmir-bus-attack/index.html,Reliable,0.029153694,0.000188768,0.00032163,0,0.011366866,0.057866184,0.001133787,0,0,0.007594937,0.253521127,0.074873096,0.00575374,0.012794613,0.028846154,0,0,0,0.971153846,0.001253439,3.09E-05,0.001001701,0.384615385,0.615384615,0.009615385,0,0,0.028846154,0.346153846,0.567307692,0.048076923
3514,abcnews.go.com,http://abcnews.go.com/Business/wireStory/november-minutes-show-fed-officials-believed-rate-hike-43744953,Reliable,0,0,0,0,0.000284172,0,0,0,0.000493827,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,1,0,0,0,0
3515,www.bloomberg.com,https://www.bloomberg.com/news/articles/2016-11-22/u-s-index-futures-signal-more-gains-after-s-p-500-dow-records,Reliable,0.009906595,0.000519113,0.000804074,0.000553097,0.010230179,0,0,0.021788129,0.00345679,0,0,0,0,0,0.777777778,0.055555556,0.027777778,0,0.138888889,0.000385976,2.8E-05,0.000119163,1,0,0,0.805555556,0.194444444,0,0,0,0
3516,news.abs-cbn.com,http://news.abs-cbn.com/entertainment/11/23/16/watch-ellen-adarna-avoids-questions-about-baste,Reliable,0.000849137,0.000283152,0.004663629,0.000553097,0.001136687,0,0,0,0.001975309,0,0,0,0,0,0.75,0.25,0,0,0,0.000141297,0.000119442,9.71E-05,1,0,0,0,1,0,0,0,0
3517,www.washingtonpost.com,https://www.washingtonpost.com/express/wp/2016/11/23/11-things-to-do-in-d-c-maryland-and-virginia-from-nov-23-29/,Reliable,0.001698273,0,0,0,0.001989201,0,0.001133787,0,0.002962963,0,0,0,0,0,0.571428571,0.285714286,0,0,0.142857143,0.105962663,0.044786647,0.028373848,1,0,0.142857143,0,0.857142857,0,0,0,0
3518,uk.reuters.com,http://uk.reuters.com/article/us-europe-airport-security-idUKKBN13I1BB,Reliable,0.001415228,0.000141576,0.00021442,0,0.00170503,0,0,0,0.002962963,0,0,0,0,0,1,0,0,0,0,5.66E-05,2.87E-05,2.89E-05,1,0,0,0,1,0,0,0,0
3519,www.usatoday.com,http://www.usatoday.com/story/money/2016/11/23/amazons-most-amazing-black-friday-deals/94350584/,Reliable,0.032833286,0.001934875,0.003430716,0.000553097,0.03125888,0.006329114,0.001133787,0,0.002469136,0.040506329,0.61971831,0.006345178,0.002301496,0.013888889,0.068376068,0,0.017094017,0.076923077,0.837606838,0.001425192,3.12E-05,0.000670677,0.94017094,0.05982906,0.008547009,0,0.042735043,0.136752137,0.752136752,0.042735043,0.017094017
3520,www.nhl.com,https://www.nhl.com/senators/news/offside-with-wwes-becky-lynch/c-283987934,Reliable,0.001415228,0.00273714,0.013186813,0.002212389,0.00170503,0,0,0,0.001481481,0.007594937,0,0,0,0.022222222,0.5,0.5,0,0,0,0.000103383,5.24E-05,9.87E-05,1,0,0,0,0.5,0.5,0,0,0
3521,abcnews.go.com,http://abcnews.go.com/Business/wireStory/toyota-recalling-834000-sienna-minivans-north-america-43725836,Reliable,0,0,0,0,0.000284172,0,0,0.000751315,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,1,0,0,0,0,0
3522,www.wsj.com,http://www.wsj.com/articles/wall-street-is-betting-2-1-trillion-that-u-s-rates-will-rise-1479820970,Reliable,0.024624965,0.002312412,0.002251407,0,0.024154589,0.002712477,0.004535147,0.033057851,0.017283951,0.002531646,0.007042254,0.003807107,0,0.002222222,0.420454545,0.102272727,0.136363636,0.102272727,0.238636364,0.001883888,5.49E-05,0.000409242,0.965909091,0.034090909,0.045454545,0.5,0.397727273,0.011363636,0.011363636,0.034090909,0
3523,uk.reuters.com,http://uk.reuters.com/article/uk-britain-retail-bhs-idUKKBN13I19K,Reliable,0,0,0,0,0.000284172,0,0,0,0,0.002531646,0,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0,1,0,0,0
3524,people.com,http://people.com/babies/sara-rue-adopts-daughter-adelaide/,Reliable,0.001698273,0.000755073,0.009059233,0.005530973,0.00170503,0.000904159,0.001133787,0,0.002469136,0,0,0,0.001150748,0.003703704,0.714285714,0,0,0,0.285714286,0.001541213,0.000651416,0.000783254,0.857142857,0.142857143,0.142857143,0,0.714285714,0,0,0,0.142857143
3525,www.cnbc.com,http://www.cnbc.com/2016/11/23/full-reversal-of-iran-nuclear-deal-is-not-so-certain-analyst.html,Reliable,0.000849137,0,0,0,0.001136687,0,0,0,0.001975309,0,0,0,0,0.007407407,1,0,0,0,0,3.34E-05,2.82E-05,3.66E-05,1,0,0,0,1,0,0,0,0
3526,abcnews.go.com,http://abcnews.go.com/US/wireStory/boy-found-dad-dead-overdose-thought-asleep-43741950,Reliable,0.000283046,4.72E-05,0,0,0.000568343,0,0,0,0,0.005063291,0,0,0,0,0.5,0,0.5,0,0,0.000191227,0.00048495,0.000306202,1,0,0,0,0,1,0,0,0
3527,abcnews.go.com,http://abcnews.go.com/US/wireStory/pregnant-woman-fatally-shot-baby-delivered-section-43661152,Reliable,0.000849137,0,0,0,0.000284172,0.002712477,0,0,0.000493827,0,0,0.001269036,0.002301496,0,0.5,0.25,0,0,0.25,0.003073309,0.002597957,0.0016981,0.25,0.75,0,0,0.25,0,0,0.25,0.5
3528,www.nytimes.com,http://www.nytimes.com/2016/11/20/us/politics/in-a-trump-era-schumer-declares-democrats-are-the-barrier.html,Reliable,0.054910841,0.019962246,0.052908068,0.122787611,0.003694231,0.164556962,0.010204082,0.002253944,0.000493827,0,0,0.138324873,0.084004603,0.002681992,0.005128205,0,0,0,0.994871795,0.074929781,0.000979489,0.105977037,0.066666667,0.933333333,0.046153846,0.015384615,0.005128205,0,0,0.558974359,0.374358974
3529,www.nba.com,http://www.nba.com/video/2016/11/18/0021600175-det-cle-play4,Reliable,0.000283046,0,0,0,0,0.001808318,0,0,0,0,0,0.002538071,0,0,1,0,0,0,0,2.69E-06,6.83E-06,4.31E-06,0,1,0,0,0,0,0,1,0
3530,www.nba.com,http://www.nba.com/video/2016/11/18/0021600176-phx-ind-recap,Reliable,0.000566091,0,0,0,0,0.002712477,0,0,0,0,0,0.003807107,0,0,1,0,0,0,0,1.86E-06,2.36E-06,1.82E-06,0,1,0,0,0,0,0,1,0
3531,nypost.com,http://nypost.com/2016/11/18/teen-live-streamed-himself-firing-a-rifle-into-neighbors-home-cops/,Reliable,0.002264365,4.72E-05,5.36E-05,0,0.002273373,0.000904159,0,0,0,0,0.056338028,0.001269036,0,0,0.555555556,0.111111111,0.222222222,0.111111111,0,0.000264569,8.39E-05,0.000166371,0.888888889,0.111111111,0,0,0,0,0.888888889,0.111111111,0
3532,www.nytimes.com,http://www.nytimes.com/2016/11/19/business/dealbook/valeant-philidor-princelings-tesla-solarcity.html,Reliable,0.01726578,4.72E-05,0,0,0.01733447,0.000904159,0.001133787,0,0,0,0.422535211,0,0.001150748,0.001129944,0.951612903,0.016129032,0,0,0.032258065,0.001014354,4.22E-05,4.82E-05,0.983870968,0.016129032,0.016129032,0,0,0,0.967741935,0,0.016129032
3533,www.nba.com,http://www.nba.com/video/2016/11/17/0021600169-nyk-was-play1-0,Reliable,0.000566091,0,0,0,0.000852515,0,0,0,0,0,0.021126761,0,0,0,1,0,0,0,0,6.01E-06,7.62E-06,5.14E-06,1,0,0,0,0,0,1,0,0
3534,www.washingtonpost.com,https://www.washingtonpost.com/news/morning-mix/wp/2016/11/18/kanye-west-says-he-would-have-voted-for-trump-had-he-actually-voted/,Reliable,0.004811775,0.00023596,0.001768963,0.004424779,0.004546746,0.001808318,0,0.00150263,0,0.002531646,0.091549296,0.001269036,0.001150748,0,0.055555556,0,0,0,0.944444444,0.249198886,0.037174412,0.178266048,0.888888889,0.111111111,0,0.111111111,0,0.055555556,0.722222222,0.055555556,0.055555556
