,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
3434,www.nytimes.com,http://www.nytimes.com/2016/11/19/insider/events/gilbert-cruz-how-the-times-covers-television.html,Reliable,-1,-1,20,-1,-1,18,2,-1,-1,-1,6,2,-1,-1,2,2,12,-1,-1,-1,2,-1,34,51,2,19,-1,-1,-1,-1,9,1,-1,-1,1,-1,-1,7,12,2,2,3,6,-1,-1,-1,-1,-1,-1,-1
3435,people.com,http://people.com/babies/rebecca-romijn-balancing-motherhood-guilt/,Reliable,-1,-1,14,-1,-1,15,1,-1,-1,-1,5,3,-1,-1,1,2,19,-1,-1,-1,-1,-1,38,34,4,18,-1,-1,7,-1,10,-1,-1,-1,1,-1,-1,5,3,5,1,9,15,1,-1,-1,-1,-1,-1,-1
3436,www.washingtonpost.com,https://www.washingtonpost.com/news/nationals-journal/wp/2016/11/18/nats-minor-league-pitcher-bryan-harper-undergoes-tommy-john-surgery/,Reliable,-1,-1,26,3,3,18,3,-1,-1,-1,47,1,1,-1,5,6,29,2,-1,-1,10,-1,73,78,7,19,-1,-1,1,-1,16,-1,1,-1,-1,1,-1,18,12,8,6,5,11,-1,-1,-1,-1,-1,-1,-1
3437,www.businessinsider.com,http://www.businessinsider.com/mortgage-rates-rise-2016-11,Reliable,-1,8,30,-1,-1,29,1,-1,-1,-1,16,1,-1,2,9,2,24,7,1,-1,10,-1,105,42,2,50,-1,-1,-1,-1,14,-1,-1,1,1,-1,-1,15,21,16,5,10,9,-1,-1,-1,-1,-1,-1,8
3438,news.abs-cbn.com,http://news.abs-cbn.com/sports/11/19/16/cavaliers-rout-of-pistons-impresses-lebron,Reliable,-1,15,36,1,1,39,1,-1,-1,-1,45,3,-1,-1,8,1,33,-1,3,-1,-1,-1,78,113,11,35,-1,-1,-1,-1,25,2,3,1,12,-1,1,12,45,16,6,6,6,-1,-1,-1,-1,-1,-1,7
3439,www.bloomberg.com,http://www.bloomberg.com/news/articles/2016-11-17/the-air-has-come-out-of-one-of-2016-s-most-popular-trades,Reliable,3,5,19,7,7,14,3,-1,-1,-1,20,2,-1,-1,7,4,24,1,2,-1,-1,-1,57,63,2,26,-1,-1,-1,-1,18,1,-1,-1,-1,-1,-1,7,22,6,7,4,4,-1,-1,-1,-1,-1,-1,3
3440,bleacherreport.com,http://bleacherreport.com/articles/2677013-atletico-madrid-vs-real-madrid-live-score-highlights-from-la-liga,Reliable,-1,-1,6,1,1,6,1,-1,-1,1,4,-1,-1,-1,-1,2,10,-1,2,-1,-1,-1,21,26,2,5,-1,-1,-1,-1,4,-1,-1,-1,2,-1,-1,3,-1,1,2,2,3,-1,-1,-1,-1,-1,-1,-1
3441,www.nytimes.com,http://www.nytimes.com/slideshow/2016/06/19/opinion/sunday/the-strip/s/2016-strip-slide-DE10.html,Reliable,-1,-1,1,-1,-1,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3442,edition.cnn.com,http://edition.cnn.com/2016/11/19/middleeast/mosul-one-month-on/index.html,Reliable,-1,9,62,3,3,62,23,-1,-1,1,20,1,-1,-1,11,17,83,-1,-1,-1,1,-1,146,135,9,129,-1,-1,1,-1,36,1,1,1,-1,-1,-1,27,52,31,37,22,18,-1,-1,-1,-1,-1,-1,3
3443,www.wsj.com,http://www.wsj.com/articles/time-for-a-rigorous-national-debate-about-surveillance-1451856106,Reliable,-1,-1,9,-1,-1,6,2,-1,-1,-1,4,-1,-1,-1,1,2,16,-1,-1,-1,1,-1,12,29,-1,13,-1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,2,4,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
